location,FertilizerScenario,crop,Event,vType,DVS,Amount
49612,2,maize,1,PK,0.001,50
49612,2,maize,2,DAP,0.001,8
49612,2,maize,3,KAS,0.4,24
49613,2,maize,1,PK,0.001,50
49613,2,maize,2,DAP,0.001,8
49613,2,maize,3,KAS,0.4,24
49614,2,maize,1,PK,0.001,50
49614,2,maize,2,DAP,0.001,8
49614,2,maize,3,KAS,0.4,24
49615,2,maize,1,PK,0.001,50
49615,2,maize,2,DAP,0.001,8
49615,2,maize,3,KAS,0.4,24
49616,2,maize,1,PK,0.001,50
49616,2,maize,2,DAP,0.001,8
49616,2,maize,3,KAS,0.4,24
49617,2,maize,1,PK,0.001,50
49617,2,maize,2,DAP,0.001,8
49617,2,maize,3,KAS,0.4,24
49618,2,maize,1,PK,0.001,50
49618,2,maize,2,DAP,0.001,8
49618,2,maize,3,KAS,0.4,24
49619,2,maize,1,PK,0.001,50
49619,2,maize,2,DAP,0.001,8
49619,2,maize,3,KAS,0.4,24
49620,2,maize,1,PK,0.001,50
49620,2,maize,2,DAP,0.001,8
49620,2,maize,3,KAS,0.4,24
49621,2,maize,1,PK,0.001,50
49621,2,maize,2,DAP,0.001,8
49621,2,maize,3,KAS,0.4,24
49622,2,maize,1,PK,0.001,50
49622,2,maize,2,DAP,0.001,8
49622,2,maize,3,KAS,0.4,24
49623,2,maize,1,PK,0.001,50
49623,2,maize,2,DAP,0.001,8
49623,2,maize,3,KAS,0.4,24
49624,2,maize,1,PK,0.001,50
49624,2,maize,2,DAP,0.001,8
49624,2,maize,3,KAS,0.4,24
49625,2,maize,1,PK,0.001,50
49625,2,maize,2,DAP,0.001,8
49625,2,maize,3,KAS,0.4,24
49626,2,maize,1,PK,0.001,50
49626,2,maize,2,DAP,0.001,8
49626,2,maize,3,KAS,0.4,24
49627,2,maize,1,PK,0.001,50
49627,2,maize,2,DAP,0.001,8
49627,2,maize,3,KAS,0.4,24
49628,2,maize,1,PK,0.001,50
49628,2,maize,2,DAP,0.001,8
49628,2,maize,3,KAS,0.4,24
49629,2,maize,1,PK,0.001,50
49629,2,maize,2,DAP,0.001,8
49629,2,maize,3,KAS,0.4,24
49630,2,maize,1,PK,0.001,50
49630,2,maize,2,DAP,0.001,8
49630,2,maize,3,KAS,0.4,24
49631,2,maize,1,PK,0.001,50
49631,2,maize,2,DAP,0.001,8
49631,2,maize,3,KAS,0.4,24
49632,2,maize,1,PK,0.001,50
49632,2,maize,2,DAP,0.001,8
49632,2,maize,3,KAS,0.4,24
49633,2,maize,1,PK,0.001,50
49633,2,maize,2,DAP,0.001,8
49633,2,maize,3,KAS,0.4,24
49634,2,maize,1,PK,0.001,50
49634,2,maize,2,DAP,0.001,8
49634,2,maize,3,KAS,0.4,24
49635,2,maize,1,PK,0.001,50
49635,2,maize,2,DAP,0.001,8
49635,2,maize,3,KAS,0.4,24
49636,2,maize,1,PK,0.001,50
49636,2,maize,2,DAP,0.001,8
49636,2,maize,3,KAS,0.4,24
49637,2,maize,1,PK,0.001,50
49637,2,maize,2,DAP,0.001,8
49637,2,maize,3,KAS,0.4,24
49638,2,maize,1,PK,0.001,50
49638,2,maize,2,DAP,0.001,8
49638,2,maize,3,KAS,0.4,24
49639,2,maize,1,PK,0.001,50
49639,2,maize,2,DAP,0.001,8
49639,2,maize,3,KAS,0.4,24
49640,2,maize,1,PK,0.001,50
49640,2,maize,2,DAP,0.001,8
49640,2,maize,3,KAS,0.4,24
49641,2,maize,1,PK,0.001,50
49641,2,maize,2,DAP,0.001,8
49641,2,maize,3,KAS,0.4,24
49642,2,maize,1,PK,0.001,50
49642,2,maize,2,DAP,0.001,8
49642,2,maize,3,KAS,0.4,24
49643,2,maize,1,PK,0.001,50
49643,2,maize,2,DAP,0.001,8
49643,2,maize,3,KAS,0.4,24
49644,2,maize,1,PK,0.001,50
49644,2,maize,2,DAP,0.001,8
49644,2,maize,3,KAS,0.4,24
49645,2,maize,1,PK,0.001,50
49645,2,maize,2,DAP,0.001,8
49645,2,maize,3,KAS,0.4,24
49646,2,maize,1,PK,0.001,50
49646,2,maize,2,DAP,0.001,8
49646,2,maize,3,KAS,0.4,24
49647,2,maize,1,PK,0.001,50
49647,2,maize,2,DAP,0.001,8
49647,2,maize,3,KAS,0.4,24
49648,2,maize,1,PK,0.001,50
49648,2,maize,2,DAP,0.001,8
49648,2,maize,3,KAS,0.4,24
49649,2,maize,1,PK,0.001,50
49649,2,maize,2,DAP,0.001,8
