location,FertilizerScenario,crop,Event,vType,DVS,Amount
49612,2,potato,1,Urea,0.001,8.5
49612,2,potato,1,P,0.001,20.62
49612,2,potato,1,K,0.001,26.49
49612,2,potato,2,Urea,0.3,12.7
49612,2,potato,3,Urea,0.5,17.9
49613,2,potato,1,Urea,0.001,8.5
49613,2,potato,1,P,0.001,20.62
49613,2,potato,1,K,0.001,26.49
49613,2,potato,2,Urea,0.3,12.7
49613,2,potato,3,Urea,0.5,17.9
49614,2,potato,1,Urea,0.001,8.5
49614,2,potato,1,P,0.001,20.62
49614,2,potato,1,K,0.001,26.49
49614,2,potato,2,Urea,0.3,12.7
49614,2,potato,3,Urea,0.5,17.9
49615,2,potato,1,Urea,0.001,8.5
49615,2,potato,1,P,0.001,20.62
49615,2,potato,1,K,0.001,26.49
49615,2,potato,2,Urea,0.3,12.7
49615,2,potato,3,Urea,0.5,17.9
49616,2,potato,1,Urea,0.001,8.5
49616,2,potato,1,P,0.001,20.62
49616,2,potato,1,K,0.001,26.49
49616,2,potato,2,Urea,0.3,12.7
49616,2,potato,3,Urea,0.5,17.9
49617,2,potato,1,Urea,0.001,8.5
49617,2,potato,1,P,0.001,20.62
49617,2,potato,1,K,0.001,26.49
49617,2,potato,2,Urea,0.3,12.7
49617,2,potato,3,Urea,0.5,17.9
49618,2,potato,1,Urea,0.001,8.5
49618,2,potato,1,P,0.001,20.62
49618,2,potato,1,K,0.001,26.49
49618,2,potato,2,Urea,0.3,12.7
49618,2,potato,3,Urea,0.5,17.9
49619,2,potato,1,Urea,0.001,8.5
49619,2,potato,1,P,0.001,20.62
49619,2,potato,1,K,0.001,26.49
49619,2,potato,2,Urea,0.3,12.7
49619,2,potato,3,Urea,0.5,17.9
49620,2,potato,1,Urea,0.001,8.5
49620,2,potato,1,P,0.001,20.62
49620,2,potato,1,K,0.001,26.49
49620,2,potato,2,Urea,0.3,12.7
49620,2,potato,3,Urea,0.5,17.9
49621,2,potato,1,Urea,0.001,8.5
49621,2,potato,1,P,0.001,20.62
49621,2,potato,1,K,0.001,26.49
49621,2,potato,2,Urea,0.3,12.7
49621,2,potato,3,Urea,0.5,17.9
49622,2,potato,1,Urea,0.001,8.5
49622,2,potato,1,P,0.001,20.62
49622,2,potato,1,K,0.001,26.49
49622,2,potato,2,Urea,0.3,12.7
