location,FertilizerScenario,crop,Event,vType,DVS,Amount
49612,2,spring_barley,1,PK,0.001,32
49612,2,spring_barley,2,KAS,0.01,31
49613,2,spring_barley,1,PK,0.001,32
49613,2,spring_barley,2,KAS,0.01,31
49614,2,spring_barley,1,PK,0.001,32
49614,2,spring_barley,2,KAS,0.01,31
49615,2,spring_barley,1,PK,0.001,32
49615,2,spring_barley,2,KAS,0.01,31
49616,2,spring_barley,1,PK,0.001,32
49616,2,spring_barley,2,KAS,0.01,31
49617,2,spring_barley,1,PK,0.001,32
49617,2,spring_barley,2,KAS,0.01,31
49618,2,spring_barley,1,PK,0.001,32
49618,2,spring_barley,2,KAS,0.01,31
49619,2,spring_barley,1,PK,0.001,32
49619,2,spring_barley,2,KAS,0.01,31
49620,2,spring_barley,1,PK,0.001,32
49620,2,spring_barley,2,KAS,0.01,31
49621,2,spring_barley,1,PK,0.001,32
49621,2,spring_barley,2,KAS,0.01,31
49622,2,spring_barley,1,PK,0.001,32
49622,2,spring_barley,2,KAS,0.01,31
49623,2,spring_barley,1,PK,0.001,32
49623,2,spring_barley,2,KAS,0.01,31
49624,2,spring_barley,1,PK,0.001,32
49624,2,spring_barley,2,KAS,0.01,31
49625,2,spring_barley,1,PK,0.001,32
49625,2,spring_barley,2,KAS,0.01,31
49626,2,spring_barley,1,PK,0.001,32
49626,2,spring_barley,2,KAS,0.01,31
49627,2,spring_barley,1,PK,0.001,32
49627,2,spring_barley,2,KAS,0.01,31
49628,2,spring_barley,1,PK,0.001,32
49628,2,spring_barley,2,KAS,0.01,31
49629,2,spring_barley,1,PK,0.001,32
49629,2,spring_barley,2,KAS,0.01,31
49630,2,spring_barley,1,PK,0.001,32
49630,2,spring_barley,2,KAS,0.01,31
49631,2,spring_barley,1,PK,0.001,32
49631,2,spring_barley,2,KAS,0.01,31
49632,2,spring_barley,1,PK,0.001,32
49632,2,spring_barley,2,KAS,0.01,31
49633,2,spring_barley,1,PK,0.001,32
49633,2,spring_barley,2,KAS,0.01,31
49634,2,spring_barley,1,PK,0.001,32
49634,2,spring_barley,2,KAS,0.01,31
49635,2,spring_barley,1,PK,0.001,32
49635,2,spring_barley,2,KAS,0.01,31
49636,2,spring_barley,1,PK,0.001,32
49636,2,spring_barley,2,KAS,0.01,31
49637,2,spring_barley,1,PK,0.001,32
49637,2,spring_barley,2,KAS,0.01,31
49638,2,spring_barley,1,PK,0.001,32
49638,2,spring_barley,2,KAS,0.01,31
49639,2,spring_barley,1,PK,0.001,32
49639,2,spring_barley,2,KAS,0.01,31
49640,2,spring_barley,1,PK,0.001,32
49640,2,spring_barley,2,KAS,0.01,31
49641,2,spring_barley,1,PK,0.001,32
49641,2,spring_barley,2,KAS,0.01,31
49642,2,spring_barley,1,PK,0.001,32
49642,2,spring_barley,2,KAS,0.01,31
49643,2,spring_barley,1,PK,0.001,32
49643,2,spring_barley,2,KAS,0.01,31
49644,2,spring_barley,1,PK,0.001,32
49644,2,spring_barley,2,KAS,0.01,31
49645,2,spring_barley,1,PK,0.001,32
49645,2,spring_barley,2,KAS,0.01,31
49646,2,spring_barley,1,PK,0.001,32
49646,2,spring_barley,2,KAS,0.01,31
49647,2,spring_barley,1,PK,0.001,32
49647,2,spring_barley,2,KAS,0.01,31
49648,2,spring_barley,1,PK,0.001,32
49648,2,spring_barley,2,KAS,0.01,31
49649,2,spring_barley,1,PK,0.001,32
49649,2,spring_barley,2,KAS,0.01,31
49650,2,spring_barley,1,PK,0.001,32
49650,2,spring_barley,2,KAS,0.01,31
49651,2,spring_barley,1,PK,0.001,32
49651,2,spring_barley,2,KAS,0.01,31
49652,2,spring_barley,1,PK,0.001,32
49652,2,spring_barley,2,KAS,0.01,31
49653,2,spring_barley,1,PK,0.001,32
49653,2,spring_barley,2,KAS,0.01,31
49654,2,spring_barley,1,PK,0.001,32
49654,2,spring_barley,2,KAS,0.01,31
49655,2,spring_barley,1,PK,0.001,32
49655,2,spring_barley,2,KAS,0.01,31
49656,2,spring_barley,1,PK,0.001,32
49656,2,spring_barley,2,KAS,0.01,31
49657,2,spring_barley,1,PK,0.001,32
49657,2,spring_barley,2,KAS,0.01,31
49658,2,spring_barley,1,PK,0.001,32
49658,2,spring_barley,2,KAS,0.01,31
49659,2,spring_barley,1,PK,0.001,32
49659,2,spring_barley,2,KAS,0.01,31
49660,2,spring_barley,1,PK,0.001,32
49660,2,spring_barley,2,KAS,0.01,31
49661,2,spring_barley,1,PK,0.001,32
49661,2,spring_barley,2,KAS,0.01,31
49662,2,spring_barley,1,PK,0.001,32
49662,2,spring_barley,2,KAS,0.01,31
49663,2,spring_barley,1,PK,0.001,32
49663,2,spring_barley,2,KAS,0.01,31
49664,2,spring_barley,1,PK,0.001,32
49664,2,spring_barley,2,KAS,0.01,31
49665,2,spring_barley,1,PK,0.001,32
49665,2,spring_barley,2,KAS,0.01,31
49666,2,spring_barley,1,PK,0.001,32
49666,2,spring_barley,2,KAS,0.01,31
49667,2,spring_barley,1,PK,0.001,32
49667,2,spring_barley,2,KAS,0.01,31
49668,2,spring_barley,1,PK,0.001,32
49668,2,spring_barley,2,KAS,0.01,31
49669,2,spring_barley,1,PK,0.001,32
49669,2,spring_barley,2,KAS,0.01,31
49670,2,spring_barley,1,PK,0.001,32
49670,2,spring_barley,2,KAS,0.01,31
49671,2,spring_barley,1,PK,0.001,32
49671,2,spring_barley,2,KAS,0.01,31
49672,2,spring_barley,1,PK,0.001,32
49672,2,spring_barley,2,KAS,0.01,31
49673,2,spring_barley,1,PK,0.001,32
49673,2,spring_barley,2,KAS,0.01,31
49674,2,spring_barley,1,PK,0.001,32
49674,2,spring_barley,2,KAS,0.01,31
49675,2,spring_barley,1,PK,0.001,32
49675,2,spring_barley,2,KAS,0.01,31
49676,2,spring_barley,1,PK,0.001,32
49676,2,spring_barley,2,KAS,0.01,31
49677,2,spring_barley,1,PK,0.001,32
49677,2,spring_barley,2,KAS,0.01,31
49678,2,spring_barley,1,PK,0.001,32
49678,2,spring_barley,2,KAS,0.01,31
49679,2,spring_barley,1,PK,0.001,32
49679,2,spring_barley,2,KAS,0.01,31
49680,2,spring_barley,1,PK,0.001,32
49680,2,spring_barley,2,KAS,0.01,31
49681,2,spring_barley,1,PK,0.001,32
49681,2,spring_barley,2,KAS,0.01,31
49682,2,spring_barley,1,PK,0.001,32
49682,2,spring_barley,2,KAS,0.01,31
49683,2,spring_barley,1,PK,0.001,32
49683,2,spring_barley,2,KAS,0.01,31
49684,2,spring_barley,1,PK,0.001,32
49684,2,spring_barley,2,KAS,0.01,31
49685,2,spring_barley,1,PK,0.001,32
49685,2,spring_barley,2,KAS,0.01,31
49686,2,spring_barley,1,PK,0.001,32
49686,2,spring_barley,2,KAS,0.01,31
49687,2,spring_barley,1,PK,0.001,32
49687,2,spring_barley,2,KAS,0.01,31
49688,2,spring_barley,1,PK,0.001,32
49688,2,spring_barley,2,KAS,0.01,31
49689,2,spring_barley,1,PK,0.001,32
49689,2,spring_barley,2,KAS,0.01,31
49690,2,spring_barley,1,PK,0.001,32
49690,2,spring_barley,2,KAS,0.01,31
49691,2,spring_barley,1,PK,0.001,32
49691,2,spring_barley,2,KAS,0.01,31
49692,2,spring_barley,1,PK,0.001,32
49692,2,spring_barley,2,KAS,0.01,31
49693,2,spring_barley,1,PK,0.001,32
49693,2,spring_barley,2,KAS,0.01,31
49694,2,spring_barley,1,PK,0.001,32
49694,2,spring_barley,2,KAS,0.01,31
49695,2,spring_barley,1,PK,0.001,32
49695,2,spring_barley,2,KAS,0.01,31
49696,2,spring_barley,1,PK,0.001,32
49696,2,spring_barley,2,KAS,0.01,31
49697,2,spring_barley,1,PK,0.001,32
49697,2,spring_barley,2,KAS,0.01,31
49698,2,spring_barley,1,PK,0.001,32
49698,2,spring_barley,2,KAS,0.01,31
49699,2,spring_barley,1,PK,0.001,32
