location,FertilizerScenario,crop,Event,vType,DVS,Amount
49612,2,sugar_beet,1,PK,0.001,60
49612,2,sugar_beet,2,KAS,0.01,30
49612,2,sugar_beet,3,KAS,0.25,10
49613,2,sugar_beet,1,PK,0.001,60
49613,2,sugar_beet,2,KAS,0.01,30
49613,2,sugar_beet,3,KAS,0.25,10
49614,2,sugar_beet,1,PK,0.001,60
49614,2,sugar_beet,2,KAS,0.01,30
49614,2,sugar_beet,3,KAS,0.25,10
49615,2,sugar_beet,1,PK,0.001,60
49615,2,sugar_beet,2,KAS,0.01,30
49615,2,sugar_beet,3,KAS,0.25,10
49616,2,sugar_beet,1,PK,0.001,60
49616,2,sugar_beet,2,KAS,0.01,30
49616,2,sugar_beet,3,KAS,0.25,10
49617,2,sugar_beet,1,PK,0.001,60
49617,2,sugar_beet,2,KAS,0.01,30
49617,2,sugar_beet,3,KAS,0.25,10
49618,2,sugar_beet,1,PK,0.001,60
49618,2,sugar_beet,2,KAS,0.01,30
49618,2,sugar_beet,3,KAS,0.25,10
49619,2,sugar_beet,1,PK,0.001,60
49619,2,sugar_beet,2,KAS,0.01,30
49619,2,sugar_beet,3,KAS,0.25,10
49620,2,sugar_beet,1,PK,0.001,60
49620,2,sugar_beet,2,KAS,0.01,30
49620,2,sugar_beet,3,KAS,0.25,10
49621,2,sugar_beet,1,PK,0.001,60
49621,2,sugar_beet,2,KAS,0.01,30
49621,2,sugar_beet,3,KAS,0.25,10
49622,2,sugar_beet,1,PK,0.001,60
49622,2,sugar_beet,2,KAS,0.01,30
49622,2,sugar_beet,3,KAS,0.25,10
49623,2,sugar_beet,1,PK,0.001,60
49623,2,sugar_beet,2,KAS,0.01,30
49623,2,sugar_beet,3,KAS,0.25,10
49624,2,sugar_beet,1,PK,0.001,60
49624,2,sugar_beet,2,KAS,0.01,30
49624,2,sugar_beet,3,KAS,0.25,10
49625,2,sugar_beet,1,PK,0.001,60
49625,2,sugar_beet,2,KAS,0.01,30
49625,2,sugar_beet,3,KAS,0.25,10
49626,2,sugar_beet,1,PK,0.001,60
49626,2,sugar_beet,2,KAS,0.01,30
49626,2,sugar_beet,3,KAS,0.25,10
49627,2,sugar_beet,1,PK,0.001,60
49627,2,sugar_beet,2,KAS,0.01,30
49627,2,sugar_beet,3,KAS,0.25,10
49628,2,sugar_beet,1,PK,0.001,60
49628,2,sugar_beet,2,KAS,0.01,30
49628,2,sugar_beet,3,KAS,0.25,10
49629,2,sugar_beet,1,PK,0.001,60
49629,2,sugar_beet,2,KAS,0.01,30
49629,2,sugar_beet,3,KAS,0.25,10
49630,2,sugar_beet,1,PK,0.001,60
49630,2,sugar_beet,2,KAS,0.01,30
49630,2,sugar_beet,3,KAS,0.25,10
49631,2,sugar_beet,1,PK,0.001,60
49631,2,sugar_beet,2,KAS,0.01,30
49631,2,sugar_beet,3,KAS,0.25,10
49632,2,sugar_beet,1,PK,0.001,60
49632,2,sugar_beet,2,KAS,0.01,30
49632,2,sugar_beet,3,KAS,0.25,10
49633,2,sugar_beet,1,PK,0.001,60
49633,2,sugar_beet,2,KAS,0.01,30
49633,2,sugar_beet,3,KAS,0.25,10
49634,2,sugar_beet,1,PK,0.001,60
49634,2,sugar_beet,2,KAS,0.01,30
49634,2,sugar_beet,3,KAS,0.25,10
49635,2,sugar_beet,1,PK,0.001,60
49635,2,sugar_beet,2,KAS,0.01,30
49635,2,sugar_beet,3,KAS,0.25,10
49636,2,sugar_beet,1,PK,0.001,60
49636,2,sugar_beet,2,KAS,0.01,30
49636,2,sugar_beet,3,KAS,0.25,10
49637,2,sugar_beet,1,PK,0.001,60
49637,2,sugar_beet,2,KAS,0.01,30
