location,FertilizerScenario,crop,Event,vType,DVS,Amount
49612,2,winter_rapeseed,1,PK,0.001,35
49612,2,winter_rapeseed,2,KAS,0.4,24
49612,2,winter_rapeseed,3,KAS,0.8,20
49613,2,winter_rapeseed,1,PK,0.001,35
49613,2,winter_rapeseed,2,KAS,0.4,24
49613,2,winter_rapeseed,3,KAS,0.8,20
49614,2,winter_rapeseed,1,PK,0.001,35
49614,2,winter_rapeseed,2,KAS,0.4,24
49614,2,winter_rapeseed,3,KAS,0.8,20
49615,2,winter_rapeseed,1,PK,0.001,35
49615,2,winter_rapeseed,2,KAS,0.4,24
49615,2,winter_rapeseed,3,KAS,0.8,20
49616,2,winter_rapeseed,1,PK,0.001,35
49616,2,winter_rapeseed,2,KAS,0.4,24
49616,2,winter_rapeseed,3,KAS,0.8,20
49617,2,winter_rapeseed,1,PK,0.001,35
49617,2,winter_rapeseed,2,KAS,0.4,24
49617,2,winter_rapeseed,3,KAS,0.8,20
49618,2,winter_rapeseed,1,PK,0.001,35
49618,2,winter_rapeseed,2,KAS,0.4,24
49618,2,winter_rapeseed,3,KAS,0.8,20
49619,2,winter_rapeseed,1,PK,0.001,35
49619,2,winter_rapeseed,2,KAS,0.4,24
49619,2,winter_rapeseed,3,KAS,0.8,20
49620,2,winter_rapeseed,1,PK,0.001,35
49620,2,winter_rapeseed,2,KAS,0.4,24
49620,2,winter_rapeseed,3,KAS,0.8,20
49621,2,winter_rapeseed,1,PK,0.001,35
49621,2,winter_rapeseed,2,KAS,0.4,24
49621,2,winter_rapeseed,3,KAS,0.8,20
49622,2,winter_rapeseed,1,PK,0.001,35
49622,2,winter_rapeseed,2,KAS,0.4,24
49622,2,winter_rapeseed,3,KAS,0.8,20
49623,2,winter_rapeseed,1,PK,0.001,35
49623,2,winter_rapeseed,2,KAS,0.4,24
49623,2,winter_rapeseed,3,KAS,0.8,20
49624,2,winter_rapeseed,1,PK,0.001,35
49624,2,winter_rapeseed,2,KAS,0.4,24
49624,2,winter_rapeseed,3,KAS,0.8,20
49625,2,winter_rapeseed,1,PK,0.001,35
49625,2,winter_rapeseed,2,KAS,0.4,24
49625,2,winter_rapeseed,3,KAS,0.8,20
49626,2,winter_rapeseed,1,PK,0.001,35
49626,2,winter_rapeseed,2,KAS,0.4,24
49626,2,winter_rapeseed,3,KAS,0.8,20
49627,2,winter_rapeseed,1,PK,0.001,35
49627,2,winter_rapeseed,2,KAS,0.4,24
49627,2,winter_rapeseed,3,KAS,0.8,20
49628,2,winter_rapeseed,1,PK,0.001,35
49628,2,winter_rapeseed,2,KAS,0.4,24
49628,2,winter_rapeseed,3,KAS,0.8,20
49629,2,winter_rapeseed,1,PK,0.001,35
49629,2,winter_rapeseed,2,KAS,0.4,24
49629,2,winter_rapeseed,3,KAS,0.8,20
49630,2,winter_rapeseed,1,PK,0.001,35
49630,2,winter_rapeseed,2,KAS,0.4,24
49630,2,winter_rapeseed,3,KAS,0.8,20
49631,2,winter_rapeseed,1,PK,0.001,35
49631,2,winter_rapeseed,2,KAS,0.4,24
49631,2,winter_rapeseed,3,KAS,0.8,20
49632,2,winter_rapeseed,1,PK,0.001,35
49632,2,winter_rapeseed,2,KAS,0.4,24
49632,2,winter_rapeseed,3,KAS,0.8,20
49633,2,winter_rapeseed,1,PK,0.001,35
49633,2,winter_rapeseed,2,KAS,0.4,24
49633,2,winter_rapeseed,3,KAS,0.8,20
49634,2,winter_rapeseed,1,PK,0.001,35
49634,2,winter_rapeseed,2,KAS,0.4,24
49634,2,winter_rapeseed,3,KAS,0.8,20
49635,2,winter_rapeseed,1,PK,0.001,35
49635,2,winter_rapeseed,2,KAS,0.4,24
49635,2,winter_rapeseed,3,KAS,0.8,20
49636,2,winter_rapeseed,1,PK,0.001,35
49636,2,winter_rapeseed,2,KAS,0.4,24
49636,2,winter_rapeseed,3,KAS,0.8,20
49637,2,winter_rapeseed,1,PK,0.001,35
49637,2,winter_rapeseed,2,KAS,0.4,24
49637,2,winter_rapeseed,3,KAS,0.8,20
49638,2,winter_rapeseed,1,PK,0.001,35
49638,2,winter_rapeseed,2,KAS,0.4,24
49638,2,winter_rapeseed,3,KAS,0.8,20
49639,2,winter_rapeseed,1,PK,0.001,35
49639,2,winter_rapeseed,2,KAS,0.4,24
49639,2,winter_rapeseed,3,KAS,0.8,20
49640,2,winter_rapeseed,1,PK,0.001,35
49640,2,winter_rapeseed,2,KAS,0.4,24
49640,2,winter_rapeseed,3,KAS,0.8,20
49641,2,winter_rapeseed,1,PK,0.001,35
49641,2,winter_rapeseed,2,KAS,0.4,24
49641,2,winter_rapeseed,3,KAS,0.8,20
49642,2,winter_rapeseed,1,PK,0.001,35
49642,2,winter_rapeseed,2,KAS,0.4,24
49642,2,winter_rapeseed,3,KAS,0.8,20
49643,2,winter_rapeseed,1,PK,0.001,35
49643,2,winter_rapeseed,2,KAS,0.4,24
49643,2,winter_rapeseed,3,KAS,0.8,20
49644,2,winter_rapeseed,1,PK,0.001,35
49644,2,winter_rapeseed,2,KAS,0.4,24
49644,2,winter_rapeseed,3,KAS,0.8,20
49645,2,winter_rapeseed,1,PK,0.001,35
49645,2,winter_rapeseed,2,KAS,0.4,24
49645,2,winter_rapeseed,3,KAS,0.8,20
49646,2,winter_rapeseed,1,PK,0.001,35
49646,2,winter_rapeseed,2,KAS,0.4,24
49646,2,winter_rapeseed,3,KAS,0.8,20
49647,2,winter_rapeseed,1,PK,0.001,35
49647,2,winter_rapeseed,2,KAS,0.4,24
49647,2,winter_rapeseed,3,KAS,0.8,20
49648,2,winter_rapeseed,1,PK,0.001,35
49648,2,winter_rapeseed,2,KAS,0.4,24
49648,2,winter_rapeseed,3,KAS,0.8,20
49649,2,winter_rapeseed,1,PK,0.001,35
49649,2,winter_rapeseed,2,KAS,0.4,24
49649,2,winter_rapeseed,3,KAS,0.8,20
49650,2,winter_rapeseed,1,PK,0.001,35
49650,2,winter_rapeseed,2,KAS,0.4,24
49650,2,winter_rapeseed,3,KAS,0.8,20
49651,2,winter_rapeseed,1,PK,0.001,35
49651,2,winter_rapeseed,2,KAS,0.4,24
49651,2,winter_rapeseed,3,KAS,0.8,20
49652,2,winter_rapeseed,1,PK,0.001,35
49652,2,winter_rapeseed,2,KAS,0.4,24
49652,2,winter_rapeseed,3,KAS,0.8,20
49653,2,winter_rapeseed,1,PK,0.001,35
49653,2,winter_rapeseed,2,KAS,0.4,24
49653,2,winter_rapeseed,3,KAS,0.8,20
49654,2,winter_rapeseed,1,PK,0.001,35
49654,2,winter_rapeseed,2,KAS,0.4,24
49654,2,winter_rapeseed,3,KAS,0.8,20
49655,2,winter_rapeseed,1,PK,0.001,35
49655,2,winter_rapeseed,2,KAS,0.4,24
49655,2,winter_rapeseed,3,KAS,0.8,20
49656,2,winter_rapeseed,1,PK,0.001,35
49656,2,winter_rapeseed,2,KAS,0.4,24
49656,2,winter_rapeseed,3,KAS,0.8,20
49657,2,winter_rapeseed,1,PK,0.001,35
49657,2,winter_rapeseed,2,KAS,0.4,24
49657,2,winter_rapeseed,3,KAS,0.8,20
49658,2,winter_rapeseed,1,PK,0.001,35
49658,2,winter_rapeseed,2,KAS,0.4,24
49658,2,winter_rapeseed,3,KAS,0.8,20
49659,2,winter_rapeseed,1,PK,0.001,35
49659,2,winter_rapeseed,2,KAS,0.4,24
49659,2,winter_rapeseed,3,KAS,0.8,20
49660,2,winter_rapeseed,1,PK,0.001,35
49660,2,winter_rapeseed,2,KAS,0.4,24
49660,2,winter_rapeseed,3,KAS,0.8,20
49661,2,winter_rapeseed,1,PK,0.001,35
49661,2,winter_rapeseed,2,KAS,0.4,24
49661,2,winter_rapeseed,3,KAS,0.8,20
49662,2,winter_rapeseed,1,PK,0.001,35
49662,2,winter_rapeseed,2,KAS,0.4,24
49662,2,winter_rapeseed,3,KAS,0.8,20
49663,2,winter_rapeseed,1,PK,0.001,35
49663,2,winter_rapeseed,2,KAS,0.4,24
49663,2,winter_rapeseed,3,KAS,0.8,20
49664,2,winter_rapeseed,1,PK,0.001,35
49664,2,winter_rapeseed,2,KAS,0.4,24
49664,2,winter_rapeseed,3,KAS,0.8,20
49665,2,winter_rapeseed,1,PK,0.001,35
49665,2,winter_rapeseed,2,KAS,0.4,24
49665,2,winter_rapeseed,3,KAS,0.8,20
49666,2,winter_rapeseed,1,PK,0.001,35
49666,2,winter_rapeseed,2,KAS,0.4,24
49666,2,winter_rapeseed,3,KAS,0.8,20
49667,2,winter_rapeseed,1,PK,0.001,35
49667,2,winter_rapeseed,2,KAS,0.4,24
49667,2,winter_rapeseed,3,KAS,0.8,20
49668,2,winter_rapeseed,1,PK,0.001,35
49668,2,winter_rapeseed,2,KAS,0.4,24
49668,2,winter_rapeseed,3,KAS,0.8,20
49669,2,winter_rapeseed,1,PK,0.001,35
49669,2,winter_rapeseed,2,KAS,0.4,24
49669,2,winter_rapeseed,3,KAS,0.8,20
49670,2,winter_rapeseed,1,PK,0.001,35
49670,2,winter_rapeseed,2,KAS,0.4,24
49670,2,winter_rapeseed,3,KAS,0.8,20
49671,2,winter_rapeseed,1,PK,0.001,35
49671,2,winter_rapeseed,2,KAS,0.4,24
49671,2,winter_rapeseed,3,KAS,0.8,20
49672,2,winter_rapeseed,1,PK,0.001,35
49672,2,winter_rapeseed,2,KAS,0.4,24
49672,2,winter_rapeseed,3,KAS,0.8,20
49673,2,winter_rapeseed,1,PK,0.001,35
49673,2,winter_rapeseed,2,KAS,0.4,24
49673,2,winter_rapeseed,3,KAS,0.8,20
49674,2,winter_rapeseed,1,PK,0.001,35
49674,2,winter_rapeseed,2,KAS,0.4,24
49674,2,winter_rapeseed,3,KAS,0.8,20
49675,2,winter_rapeseed,1,PK,0.001,35
49675,2,winter_rapeseed,2,KAS,0.4,24
49675,2,winter_rapeseed,3,KAS,0.8,20
49676,2,winter_rapeseed,1,PK,0.001,35
49676,2,winter_rapeseed,2,KAS,0.4,24
49676,2,winter_rapeseed,3,KAS,0.8,20
49677,2,winter_rapeseed,1,PK,0.001,35
49677,2,winter_rapeseed,2,KAS,0.4,24
49677,2,winter_rapeseed,3,KAS,0.8,20
49678,2,winter_rapeseed,1,PK,0.001,35
49678,2,winter_rapeseed,2,KAS,0.4,24
49678,2,winter_rapeseed,3,KAS,0.8,20
49679,2,winter_rapeseed,1,PK,0.001,35
49679,2,winter_rapeseed,2,KAS,0.4,24
49679,2,winter_rapeseed,3,KAS,0.8,20
49680,2,winter_rapeseed,1,PK,0.001,35
49680,2,winter_rapeseed,2,KAS,0.4,24
49680,2,winter_rapeseed,3,KAS,0.8,20
49681,2,winter_rapeseed,1,PK,0.001,35
49681,2,winter_rapeseed,2,KAS,0.4,24
49681,2,winter_rapeseed,3,KAS,0.8,20
49682,2,winter_rapeseed,1,PK,0.001,35
49682,2,winter_rapeseed,2,KAS,0.4,24
49682,2,winter_rapeseed,3,KAS,0.8,20
49683,2,winter_rapeseed,1,PK,0.001,35
49683,2,winter_rapeseed,2,KAS,0.4,24
49683,2,winter_rapeseed,3,KAS,0.8,20
49684,2,winter_rapeseed,1,PK,0.001,35
49684,2,winter_rapeseed,2,KAS,0.4,24
49684,2,winter_rapeseed,3,KAS,0.8,20
49685,2,winter_rapeseed,1,PK,0.001,35
49685,2,winter_rapeseed,2,KAS,0.4,24
49685,2,winter_rapeseed,3,KAS,0.8,20
49686,2,winter_rapeseed,1,PK,0.001,35
49686,2,winter_rapeseed,2,KAS,0.4,24
49686,2,winter_rapeseed,3,KAS,0.8,20
49687,2,winter_rapeseed,1,PK,0.001,35
49687,2,winter_rapeseed,2,KAS,0.4,24
49687,2,winter_rapeseed,3,KAS,0.8,20
49688,2,winter_rapeseed,1,PK,0.001,35
49688,2,winter_rapeseed,2,KAS,0.4,24
49688,2,winter_rapeseed,3,KAS,0.8,20
49689,2,winter_rapeseed,1,PK,0.001,35
49689,2,winter_rapeseed,2,KAS,0.4,24
49689,2,winter_rapeseed,3,KAS,0.8,20
49690,2,winter_rapeseed,1,PK,0.001,35
49690,2,winter_rapeseed,2,KAS,0.4,24
49690,2,winter_rapeseed,3,KAS,0.8,20
49691,2,winter_rapeseed,1,PK,0.001,35
49691,2,winter_rapeseed,2,KAS,0.4,24
49691,2,winter_rapeseed,3,KAS,0.8,20
49692,2,winter_rapeseed,1,PK,0.001,35
49692,2,winter_rapeseed,2,KAS,0.4,24
49692,2,winter_rapeseed,3,KAS,0.8,20
49693,2,winter_rapeseed,1,PK,0.001,35
49693,2,winter_rapeseed,2,KAS,0.4,24
49693,2,winter_rapeseed,3,KAS,0.8,20
49694,2,winter_rapeseed,1,PK,0.001,35
49694,2,winter_rapeseed,2,KAS,0.4,24
49694,2,winter_rapeseed,3,KAS,0.8,20
49695,2,winter_rapeseed,1,PK,0.001,35
49695,2,winter_rapeseed,2,KAS,0.4,24
49695,2,winter_rapeseed,3,KAS,0.8,20
49696,2,winter_rapeseed,1,PK,0.001,35
49696,2,winter_rapeseed,2,KAS,0.4,24
49696,2,winter_rapeseed,3,KAS,0.8,20
