location,FertilizerScenario,crop,Event,vType,DVS,Amount
49612,2,winter_wheat,1,PK,0.001,40
49612,2,winter_wheat,2,KAS,0.25,32
49612,2,winter_wheat,3,KAS,0.4,16
49612,2,winter_wheat,4,KAS,0.9,16
49613,2,winter_wheat,1,PK,0.001,40
49613,2,winter_wheat,2,KAS,0.25,32
49613,2,winter_wheat,3,KAS,0.4,16
49613,2,winter_wheat,4,KAS,0.9,16
49614,2,winter_wheat,1,PK,0.001,40
49614,2,winter_wheat,2,KAS,0.25,32
49614,2,winter_wheat,3,KAS,0.4,16
49614,2,winter_wheat,4,KAS,0.9,16
49615,2,winter_wheat,1,PK,0.001,40
49615,2,winter_wheat,2,KAS,0.25,32
49615,2,winter_wheat,3,KAS,0.4,16
49615,2,winter_wheat,4,KAS,0.9,16
49616,2,winter_wheat,1,PK,0.001,40
49616,2,winter_wheat,2,KAS,0.25,32
49616,2,winter_wheat,3,KAS,0.4,16
49616,2,winter_wheat,4,KAS,0.9,16
49617,2,winter_wheat,1,PK,0.001,40
49617,2,winter_wheat,2,KAS,0.25,32
49617,2,winter_wheat,3,KAS,0.4,16
49617,2,winter_wheat,4,KAS,0.9,16
49618,2,winter_wheat,1,PK,0.001,40
49618,2,winter_wheat,2,KAS,0.25,32
49618,2,winter_wheat,3,KAS,0.4,16
49618,2,winter_wheat,4,KAS,0.9,16
49619,2,winter_wheat,1,PK,0.001,40
49619,2,winter_wheat,2,KAS,0.25,32
49619,2,winter_wheat,3,KAS,0.4,16
49619,2,winter_wheat,4,KAS,0.9,16
49620,2,winter_wheat,1,PK,0.001,40
49620,2,winter_wheat,2,KAS,0.25,32
49620,2,winter_wheat,3,KAS,0.4,16
49620,2,winter_wheat,4,KAS,0.9,16
49621,2,winter_wheat,1,PK,0.001,40
49621,2,winter_wheat,2,KAS,0.25,32
49621,2,winter_wheat,3,KAS,0.4,16
49621,2,winter_wheat,4,KAS,0.9,16
49622,2,winter_wheat,1,PK,0.001,40
49622,2,winter_wheat,2,KAS,0.25,32
49622,2,winter_wheat,3,KAS,0.4,16
49622,2,winter_wheat,4,KAS,0.9,16
49623,2,winter_wheat,1,PK,0.001,40
49623,2,winter_wheat,2,KAS,0.25,32
49623,2,winter_wheat,3,KAS,0.4,16
49623,2,winter_wheat,4,KAS,0.9,16
49624,2,winter_wheat,1,PK,0.001,40
49624,2,winter_wheat,2,KAS,0.25,32
49624,2,winter_wheat,3,KAS,0.4,16
49624,2,winter_wheat,4,KAS,0.9,16
49625,2,winter_wheat,1,PK,0.001,40
49625,2,winter_wheat,2,KAS,0.25,32
49625,2,winter_wheat,3,KAS,0.4,16
49625,2,winter_wheat,4,KAS,0.9,16
49626,2,winter_wheat,1,PK,0.001,40
49626,2,winter_wheat,2,KAS,0.25,32
49626,2,winter_wheat,3,KAS,0.4,16
49626,2,winter_wheat,4,KAS,0.9,16
49627,2,winter_wheat,1,PK,0.001,40
49627,2,winter_wheat,2,KAS,0.25,32
49627,2,winter_wheat,3,KAS,0.4,16
49627,2,winter_wheat,4,KAS,0.9,16
49628,2,winter_wheat,1,PK,0.001,40
49628,2,winter_wheat,2,KAS,0.25,32
49628,2,winter_wheat,3,KAS,0.4,16
49628,2,winter_wheat,4,KAS,0.9,16
49629,2,winter_wheat,1,PK,0.001,40
49629,2,winter_wheat,2,KAS,0.25,32
49629,2,winter_wheat,3,KAS,0.4,16
49629,2,winter_wheat,4,KAS,0.9,16
49630,2,winter_wheat,1,PK,0.001,40
49630,2,winter_wheat,2,KAS,0.25,32
49630,2,winter_wheat,3,KAS,0.4,16
49630,2,winter_wheat,4,KAS,0.9,16
49631,2,winter_wheat,1,PK,0.001,40
49631,2,winter_wheat,2,KAS,0.25,32
49631,2,winter_wheat,3,KAS,0.4,16
49631,2,winter_wheat,4,KAS,0.9,16
49632,2,winter_wheat,1,PK,0.001,40
49632,2,winter_wheat,2,KAS,0.25,32
49632,2,winter_wheat,3,KAS,0.4,16
49632,2,winter_wheat,4,KAS,0.9,16
49633,2,winter_wheat,1,PK,0.001,40
49633,2,winter_wheat,2,KAS,0.25,32
49633,2,winter_wheat,3,KAS,0.4,16
49633,2,winter_wheat,4,KAS,0.9,16
49634,2,winter_wheat,1,PK,0.001,40
49634,2,winter_wheat,2,KAS,0.25,32
49634,2,winter_wheat,3,KAS,0.4,16
49634,2,winter_wheat,4,KAS,0.9,16
49635,2,winter_wheat,1,PK,0.001,40
49635,2,winter_wheat,2,KAS,0.25,32
49635,2,winter_wheat,3,KAS,0.4,16
49635,2,winter_wheat,4,KAS,0.9,16
49636,2,winter_wheat,1,PK,0.001,40
49636,2,winter_wheat,2,KAS,0.25,32
49636,2,winter_wheat,3,KAS,0.4,16
49636,2,winter_wheat,4,KAS,0.9,16
49637,2,winter_wheat,1,PK,0.001,40
49637,2,winter_wheat,2,KAS,0.25,32
49637,2,winter_wheat,3,KAS,0.4,16
49637,2,winter_wheat,4,KAS,0.9,16
49638,2,winter_wheat,1,PK,0.001,40
49638,2,winter_wheat,2,KAS,0.25,32
49638,2,winter_wheat,3,KAS,0.4,16
49638,2,winter_wheat,4,KAS,0.9,16
49639,2,winter_wheat,1,PK,0.001,40
49639,2,winter_wheat,2,KAS,0.25,32
49639,2,winter_wheat,3,KAS,0.4,16
49639,2,winter_wheat,4,KAS,0.9,16
49640,2,winter_wheat,1,PK,0.001,40
49640,2,winter_wheat,2,KAS,0.25,32
49640,2,winter_wheat,3,KAS,0.4,16
49640,2,winter_wheat,4,KAS,0.9,16
49641,2,winter_wheat,1,PK,0.001,40
49641,2,winter_wheat,2,KAS,0.25,32
49641,2,winter_wheat,3,KAS,0.4,16
49641,2,winter_wheat,4,KAS,0.9,16
49642,2,winter_wheat,1,PK,0.001,40
49642,2,winter_wheat,2,KAS,0.25,32
49642,2,winter_wheat,3,KAS,0.4,16
49642,2,winter_wheat,4,KAS,0.9,16
49643,2,winter_wheat,1,PK,0.001,40
49643,2,winter_wheat,2,KAS,0.25,32
49643,2,winter_wheat,3,KAS,0.4,16
49643,2,winter_wheat,4,KAS,0.9,16
49644,2,winter_wheat,1,PK,0.001,40
49644,2,winter_wheat,2,KAS,0.25,32
49644,2,winter_wheat,3,KAS,0.4,16
49644,2,winter_wheat,4,KAS,0.9,16
49645,2,winter_wheat,1,PK,0.001,40
49645,2,winter_wheat,2,KAS,0.25,32
49645,2,winter_wheat,3,KAS,0.4,16
49645,2,winter_wheat,4,KAS,0.9,16
49646,2,winter_wheat,1,PK,0.001,40
49646,2,winter_wheat,2,KAS,0.25,32
49646,2,winter_wheat,3,KAS,0.4,16
49646,2,winter_wheat,4,KAS,0.9,16
49647,2,winter_wheat,1,PK,0.001,40
49647,2,winter_wheat,2,KAS,0.25,32
49647,2,winter_wheat,3,KAS,0.4,16
49647,2,winter_wheat,4,KAS,0.9,16
49648,2,winter_wheat,1,PK,0.001,40
49648,2,winter_wheat,2,KAS,0.25,32
49648,2,winter_wheat,3,KAS,0.4,16
49648,2,winter_wheat,4,KAS,0.9,16
49649,2,winter_wheat,1,PK,0.001,40
49649,2,winter_wheat,2,KAS,0.25,32
49649,2,winter_wheat,3,KAS,0.4,16
49649,2,winter_wheat,4,KAS,0.9,16
49650,2,winter_wheat,1,PK,0.001,40
49650,2,winter_wheat,2,KAS,0.25,32
49650,2,winter_wheat,3,KAS,0.4,16
49650,2,winter_wheat,4,KAS,0.9,16
